ObjectID,Session_Name,Timestamp,Latitude,Longitude,Temperature,PM1,PM10,PM2.5,Humidity
1,lakeshore_trail_2,2024-03-16T18:27:35.000,41.99709724,-87.65697855,72,0,0,0,22
2,lakeshore_trail_2,2024-03-16T18:27:36.000,41.99711328,-87.65697463,70,0,0,0,22
3,lakeshore_trail_2,2024-03-16T18:27:37.000,41.99712184,-87.65697259,70,0,0,0,22
4,lakeshore_trail_2,2024-03-16T18:27:38.000,41.99712733,-87.65697284,70,0,0,0,22
5,lakeshore_trail_2,2024-03-16T18:27:39.000,41.99712291,-87.65697264,70,0,0,0,22
6,lakeshore_trail_2,2024-03-16T18:27:40.000,41.99715856,-87.65697419,69,0,0,0,22
7,lakeshore_trail_2,2024-03-16T18:27:41.000,41.9971624,-87.65697435,69,0,0,0,22
8,lakeshore_trail_2,2024-03-16T18:27:42.000,41.99718686,-87.65697541,69,0,0,0,22
9,lakeshore_trail_2,2024-03-16T18:27:43.000,41.99721475,-87.65697661,69,0,0,0,22
10,lakeshore_trail_2,2024-03-16T18:27:44.000,41.99722904,-87.65697722,69,0,0,0,22
11,lakeshore_trail_2,2024-03-16T18:27:45.000,41.99722906,-87.65697722,69,0,0,0,22
12,lakeshore_trail_2,2024-03-16T18:27:46.000,41.99723595,-87.65697752,69,0,0,0,22
13,lakeshore_trail_2,2024-03-16T18:27:47.000,41.99724401,-87.65697787,69,0,0,0,22
14,lakeshore_trail_2,2024-03-16T18:27:49.000,41.9972605,-87.65697858,69,,,,
15,lakeshore_trail_2,2024-03-16T18:27:49.000,41.99725171,-87.6569782,69,0,,,
16,lakeshore_trail_2,2024-03-16T18:27:49.000,41.9972605,-87.65697858,,0,0,,
17,lakeshore_trail_2,2024-03-16T18:27:49.000,41.99725171,-87.6569782,,,0,,
18,lakeshore_trail_2,2024-03-16T18:27:49.000,41.9972605,-87.65697858,,,,0,
19,lakeshore_trail_2,2024-03-16T18:27:49.000,41.99725171,-87.6569782,,,,0,22
20,lakeshore_trail_2,2024-03-16T18:27:49.000,41.9972605,-87.65697858,,,,,22
21,lakeshore_trail_2,2024-03-16T18:27:50.000,41.99727522,-87.65697921,69,0,0,0,22
22,lakeshore_trail_2,2024-03-16T18:27:51.000,41.99728751,-87.65697974,69,0,0,0,22
23,lakeshore_trail_2,2024-03-16T18:27:52.000,41.99732229,-87.65698124,69,0,0,0,22
24,lakeshore_trail_2,2024-03-16T18:27:53.000,41.99733241,-87.65698167,69,0,0,0,22
25,lakeshore_trail_2,2024-03-16T18:27:54.000,41.99734508,-87.65698222,69,0,0,0,22
26,lakeshore_trail_2,2024-03-16T18:27:55.000,41.99735713,-87.65698274,69,0,0,0,22
27,lakeshore_trail_2,2024-03-16T18:27:56.000,41.99736971,-87.65698328,69,0,0,0,22
28,lakeshore_trail_2,2024-03-16T18:27:57.000,41.99738573,-87.65698397,69,0,0,0,22
29,lakeshore_trail_2,2024-03-16T18:27:58.000,41.99739561,-87.6569844,69,0,0,0,22
30,lakeshore_trail_2,2024-03-16T18:27:59.000,41.99740283,-87.65698471,69,0,0,0,22
31,lakeshore_trail_2,2024-03-16T18:28:00.000,41.99740875,-87.65698496,69,0,0,0,22
32,lakeshore_trail_2,2024-03-16T18:28:01.000,41.99741795,-87.65698536,69,0,0,0,22
33,lakeshore_trail_2,2024-03-16T18:28:02.000,41.99743383,-87.65698604,69,0,0,0,22
34,lakeshore_trail_2,2024-03-16T18:28:03.000,41.99745111,-87.65698679,69,0,0,0,22
35,lakeshore_trail_2,2024-03-16T18:28:04.000,41.99746373,-87.65698733,69,0,0,0,22
36,lakeshore_trail_2,2024-03-16T18:28:05.000,41.99747373,-87.65698062,69,0,0,0,22
37,lakeshore_trail_2,2024-03-16T18:28:06.000,41.99748389,-87.65698148,69,0,0,0,22
38,lakeshore_trail_2,2024-03-16T18:28:07.000,41.99749411,-87.65698645,69,0,0,0,22
39,lakeshore_trail_2,2024-03-16T18:28:08.000,41.99750964,-87.6569865,69,0,0,0,22
40,lakeshore_trail_2,2024-03-16T18:28:09.000,41.99752293,-87.65698953,69,0,0,0,22
